iter	RMSE
0	0.2155203754
1	0.2147085465
2	0.2140771111
3	0.2134442104
4	0.2132158622
5	0.2122987913
6	0.2117618001
7	0.2114189437
8	0.2101063605
9	0.2091235012
10	0.2083629372
11	0.2071949192
12	0.205628297
13	0.2052224752
14	0.2046638766
15	0.204013763
16	0.2031492273
17	0.202637998
18	0.2022419239
19	0.2016848347
20	0.201189283
21	0.2003380137
22	0.2000336201
23	0.1995870743
24	0.1987037126
25	0.1983293869
26	0.1979313157
27	0.1974598928
28	0.196974262
29	0.1965931177
30	0.1959094837
31	0.195287327
32	0.1945598994
33	0.1942242861
34	0.1937088228
35	0.1930158215
36	0.1918069243
37	0.1911208353
38	0.1904614537
39	0.1900850617
40	0.1897516707
41	0.18947484
42	0.1893560944
43	0.1888652922
44	0.1885227667
45	0.188346194
46	0.1880993439
47	0.187708317
48	0.1874490624
49	0.1859968377
50	0.1858111061
51	0.1854902179
52	0.1851416439
53	0.1849145211
54	0.1845687175
55	0.1843558298
56	0.1839948673
57	0.1838118171
58	0.1836112681
59	0.1833391151
60	0.1831656763
61	0.1823904433
62	0.1813085854
63	0.1809630887
64	0.1807313423
65	0.1799614311
66	0.1791903448
67	0.17882511
68	0.1784385711
69	0.1782499125
70	0.1778054438
71	0.1775568022
72	0.1773964232
73	0.1770733432
74	0.1767053648
75	0.176577614
76	0.1764493251
77	0.1762671413
78	0.1761117142
79	0.1757470298
80	0.1754559576
81	0.1752214297
82	0.1748920284
83	0.1745479041
84	0.1743400311
85	0.1731001305
86	0.1724308827
87	0.1723506965
88	0.171679141
89	0.1715317294
90	0.1713607932
91	0.1707862181
92	0.1706152476
93	0.1702906926
94	0.1700827639
95	0.1694981015
96	0.1692186975
97	0.1690209295
98	0.1687510011
99	0.168378366
100	0.167407874
101	0.1670156599
102	0.1667853886
103	0.1664757462
104	0.1662010578
105	0.1660109258
106	0.1657783574
107	0.1655474944
108	0.1650458309
109	0.1647942432
110	0.1645529202
111	0.1643662774
112	0.1640662263
113	0.1638401995
114	0.1636263883
115	0.1634351098
116	0.1630804638
117	0.1628666277
118	0.1627067542
119	0.1625208852
120	0.1622412134
121	0.161310588
