iter	Passed	Remaining
0	47	47922
1	48	24389
2	49	16435
3	50	12497
4	50	10132
5	51	8557
6	52	7429
7	53	6583
8	53	5927
9	54	5401
10	55	4970
11	55	4597
12	56	4294
13	57	4035
14	58	3812
15	58	3614
16	59	3439
17	60	3285
18	60	3130
19	61	3006
20	62	2894
21	62	2792
22	63	2699
23	64	2613
24	64	2534
25	65	2461
26	66	2394
27	67	2332
28	67	2273
29	68	2219
30	69	2167
31	70	2119
32	70	2065
33	71	2023
34	71	1984
35	72	1946
36	73	1911
37	74	1876
38	74	1844
39	75	1814
40	76	1785
41	77	1758
42	77	1731
43	78	1706
44	79	1682
45	79	1659
46	80	1636
47	81	1615
48	82	1594
49	82	1576
50	83	1557
51	84	1539
52	85	1522
53	85	1505
54	86	1488
55	87	1472
56	88	1457
57	88	1442
58	89	1428
59	90	1414
60	91	1402
61	91	1389
62	92	1376
63	93	1363
64	93	1352
65	94	1340
66	95	1329
67	96	1318
68	96	1307
69	97	1297
70	98	1286
71	99	1276
72	99	1267
73	100	1257
74	101	1248
75	101	1239
76	102	1230
77	103	1222
78	104	1220
79	105	1213
80	106	1204
81	107	1200
82	107	1192
83	108	1185
84	109	1177
85	110	1170
86	110	1163
87	111	1156
88	112	1149
89	113	1142
90	113	1136
91	114	1129
92	115	1123
93	115	1117
94	116	1111
95	117	1105
96	118	1099
97	118	1093
98	119	1088
99	120	1082
100	121	1077
101	121	1071
102	122	1066
103	123	1061
104	123	1056
105	124	1051
106	125	1046
107	126	1041
108	126	1036
109	127	1031
110	128	1026
111	129	1024
112	129	1019
113	130	1015
114	131	1011
115	132	1006
116	132	1002
117	133	998
118	135	1000
119	136	998
120	137	998
121	138	996
122	139	993
123	139	987
124	140	984
125	141	981
126	142	978
127	143	977
128	144	976
129	145	976
130	147	979
131	148	976
132	149	974
133	150	971
134	151	969
135	152	966
136	153	964
137	153	961
138	158	984
139	159	982
140	160	980
141	162	979
142	162	975
143	163	973
144	164	971
145	165	968
146	166	966
147	167	963
148	168	961
149	169	959
150	170	957
151	171	956
152	172	954
153	173	952
154	174	950
155	175	948
156	176	945
157	177	943
158	178	941
159	179	940
160	180	939
161	181	937
162	182	935
163	183	933
164	184	931
165	185	929
166	185	927
167	187	927
168	188	925
169	189	923
170	191	926
171	192	925
172	193	924
173	195	927
174	197	929
175	198	927
176	199	925
177	200	923
178	201	922
179	202	921
180	203	920
181	205	922
182	207	926
183	208	924
184	209	922
185	210	919
186	210	916
187	211	914
188	212	911
189	213	909
190	214	907
191	214	904
192	215	902
193	216	899
194	218	902
195	219	900
196	220	898
197	221	896
198	222	893
199	222	891
200	223	889
201	224	886
202	225	884
203	226	882
204	226	879
205	227	877
206	228	875
207	229	873
208	230	871
209	230	868
210	231	866
211	233	866
212	233	864
213	234	862
214	235	860
215	236	857
216	237	855
217	237	853
218	238	851
219	239	848
220	240	846
221	240	844
222	241	842
223	242	840
224	243	838
225	244	836
226	244	833
227	245	831
228	246	829
229	247	826
230	247	824
231	248	822
232	249	820
233	250	818
234	250	816
235	251	814
236	252	812
237	253	810
238	253	808
239	254	805
240	255	803
241	255	801
242	256	799
243	257	797
244	258	795
245	258	793
246	259	791
247	260	789
248	261	787
249	261	785
250	262	783
251	263	781
252	263	779
253	264	777
254	265	775
255	266	773
256	266	771
257	267	769
