iter	RMSE
0	0.2657297354
1	0.2652711857
2	0.264937482
3	0.2644635633
4	0.2636803864
5	0.2629284625
6	0.2621973644
7	0.2606959825
8	0.2595586491
9	0.2587534749
10	0.2580882831
11	0.2573613584
12	0.2566802997
13	0.2561179629
14	0.2554772629
15	0.2546196505
16	0.2540876502
17	0.2530432434
18	0.2528114361
19	0.2523041705
20	0.2519032687
21	0.2514168066
22	0.2508446893
23	0.2502958651
24	0.2498551312
25	0.2492059858
26	0.2487006186
27	0.2477235736
28	0.2469353522
29	0.246497275
30	0.2458956629
31	0.2452747962
32	0.2448129321
33	0.2442638839
34	0.2439536593
35	0.2436685493
36	0.2432786003
37	0.2427799593
38	0.2423869298
39	0.2420363787
40	0.2414242227
41	0.2403440599
42	0.2400916362
43	0.2385002928
44	0.2379842726
45	0.2376040129
46	0.2364253411
47	0.2358967578
48	0.2354554639
49	0.2345210694
50	0.234208044
51	0.2333154299
52	0.2322765063
53	0.2319540018
54	0.2316872096
55	0.2313423835
56	0.2309552569
57	0.2306151579
58	0.2300958414
59	0.2294074137
60	0.2285737734
61	0.2280635934
62	0.2278015667
63	0.2275258832
64	0.2273008707
65	0.2266070561
66	0.2262880995
67	0.2260093405
68	0.2255204078
69	0.2252222527
70	0.2249627959
71	0.2245759417
72	0.2241179211
73	0.2239016798
74	0.2228563114
75	0.222571076
76	0.2219637689
77	0.2215788487
78	0.2213434942
79	0.2209916722
80	0.2207117341
81	0.2204992202
82	0.220063722
83	0.2198027954
84	0.2194312492
85	0.2190368017
86	0.218728542
87	0.2183120613
88	0.2180908454
89	0.2178336442
90	0.2165417307
91	0.216243051
92	0.2158112833
93	0.2155511534
94	0.2153270014
95	0.2149750322
96	0.2146884697
97	0.214286986
98	0.2138789835
99	0.2135924448
100	0.2133154088
101	0.2130548302
102	0.212708189
103	0.2120366319
104	0.2117101138
105	0.2114454685
106	0.2112202064
107	0.2108779849
108	0.2105542669
109	0.2098316657
110	0.2095970177
111	0.2093820451
112	0.2091984768
113	0.2079493663
114	0.2077287416
115	0.2075118875
116	0.207329944
117	0.2068743972
118	0.2066768319
119	0.2058108397
120	0.2053044971
121	0.2051121529
122	0.204900819
123	0.204526972
124	0.204343485
125	0.2038604752
126	0.2035626256
127	0.2030795364
128	0.2027801728
129	0.2024263562
130	0.2022457957
131	0.2018586368
132	0.2015525832
133	0.2007399778
134	0.2004096859
135	0.2000374419
136	0.1996835181
137	0.1993744932
138	0.1991465002
139	0.1988243461
140	0.1985195364
141	0.1975262363
142	0.1972210642
143	0.1968495349
144	0.1964721073
145	0.1960139919
146	0.1957948463
147	0.1955613851
148	0.1952883397
149	0.1950234157
150	0.1947034864
151	0.1943886433
152	0.193549271
153	0.1932684353
154	0.1930109007
155	0.1927655901
156	0.1925408051
157	0.1923720503
158	0.1921409321
159	0.1918299865
160	0.1915556595
161	0.1911041811
162	0.19021477
163	0.1896158873
164	0.1893969488
165	0.1891590495
166	0.1888779657
167	0.1885919892
168	0.1882803582
169	0.187971608
170	0.1877130426
171	0.1874696821
172	0.1871199166
173	0.186678581
174	0.1864588475
175	0.185487188
176	0.1851731742
177	0.184948086
178	0.1839992976
179	0.1837106568
180	0.1833673743
181	0.18312724
182	0.1821808883
183	0.1818602947
184	0.1816287435
185	0.1813213625
186	0.1810537838
187	0.1807086574
188	0.1803349318
189	0.1793582572
190	0.1785324045
191	0.1782573666
192	0.1780369106
193	0.1777510619
194	0.1774132022
195	0.177097413
196	0.1767911454
197	0.1764854341
198	0.1760408165
199	0.175709015
200	0.175396029
201	0.1751554078
202	0.1748126771
203	0.1732989125
204	0.1730931165
205	0.1728155673
206	0.1714903536
207	0.1711473749
208	0.1708502521
209	0.1698227445
210	0.1695057483
211	0.1680415642
212	0.1660291552
213	0.1645021673
214	0.1640577984
215	0.1637119393
216	0.1633212454
217	0.1629976627
218	0.1626798855
219	0.1617399599
220	0.1614022715
221	0.1610976185
222	0.1607919039
223	0.1604773467
224	0.1601694454
225	0.1598589185
226	0.1595501232
227	0.1576537801
228	0.1564822957
229	0.1548731143
230	0.1545603697
231	0.1532271817
232	0.1529208525
233	0.1513208735
234	0.1510142835
235	0.1507260657
236	0.1504201882
237	0.1501279113
238	0.1498160175
239	0.149508042
240	0.1492178969
241	0.1488296297
242	0.1485219349
243	0.1482423686
244	0.1465149075
245	0.1462222
246	0.1445432554
247	0.1428902306
248	0.1425795395
249	0.1422813508
250	0.1406926273
251	0.1403846046
252	0.1388174947
253	0.1385099387
254	0.1369879898
255	0.1357476319
256	0.1354373936
257	0.135149333
258	0.1348664876
259	0.1345833812
260	0.1342826466
261	0.1328032218
262	0.132501901
263	0.1310732009
264	0.1296767756
265	0.1293724281
266	0.1290719605
267	0.1278644448
268	0.1266223114
269	0.1263212975
270	0.1260249303
271	0.1257527937
272	0.1254597195
273	0.1251701317
274	0.1248837552
275	0.1235684337
276	0.1222757032
277	0.1219859171
278	0.1208778496
279	0.1197554552
280	0.1194647018
281	0.1191761606
282	0.1180560597
283	0.1177664993
284	0.1169614099
285	0.1166754815
286	0.1163917241
287	0.11533541
288	0.1150515874
289	0.1147703025
290	0.113721417
291	0.1134396903
292	0.1131610841
293	0.1128842802
294	0.1126109014
295	0.1123407481
296	0.1120719973
297	0.1112571115
298	0.1109885176
299	0.1106626433
300	0.1096885859
301	0.1094473452
302	0.1084935528
303	0.1075142578
304	0.1065776657
305	0.106309109
306	0.1060429743
307	0.1057806114
308	0.1055194891
309	0.1052611804
310	0.1042372927
311	0.1039090789
312	0.1035870694
313	0.1033345082
314	0.1030831123
315	0.102833899
316	0.102587378
317	0.1015850712
318	0.1012724978
319	0.1010281255
320	0.1007863891
321	0.1004857835
322	0.09974783143
323	0.09950694586
324	0.099268523
325	0.0990328478
326	0.09873549278
327	0.09850205262
328	0.09827181158
329	0.09804326405
330	0.09781658937
331	0.09684309252
332	0.09589397237
333	0.0956173534
334	0.09539155809
335	0.095167651
336	0.09494571539
337	0.09472602892
338	0.09450791081
339	0.09395846246
340	0.09374236151
341	0.09348223096
342	0.09326908596
343	0.09300413495
344	0.09236580613
345	0.09215393359
346	0.09189514804
347	0.09168687435
348	0.09148034059
349	0.09127575854
350	0.09093328144
351	0.09073106062
352	0.09053060123
353	0.09033225649
354	0.09013541046
355	0.08980310143
356	0.08956408928
357	0.08864238481
358	0.08802723129
359	0.08779614097
360	0.08746450459
361	0.08727080132
362	0.08694764839
363	0.08675652704
364	0.08656682969
365	0.08634282308
366	0.08615613091
367	0.08551441863
368	0.08532767612
369	0.08514196205
370	0.08495861159
371	0.08477714734
372	0.08447396638
373	0.08429461343
374	0.0840838738
375	0.08390740212
376	0.08373237962
377	0.08355931586
378	0.08338730014
379	0.08318456112
380	0.08275172686
381	0.08258251321
382	0.08241492836
383	0.0822489174
384	0.08205456289
385	0.08189123159
386	0.08172929764
387	0.08153622358
388	0.0813765067
389	0.08121834535
390	0.08033287133
391	0.07947022406
392	0.07931046589
393	0.07872870135
394	0.07854389272
395	0.07838608526
396	0.07822960031
397	0.0780747806
398	0.07792127269
399	0.07776924114
400	0.07761855469
401	0.07678467611
402	0.07663391056
403	0.07648464909
404	0.07633682304
405	0.07616457461
406	0.07534810002
407	0.07509759114
408	0.07495185477
409	0.07480745242
410	0.07466443615
411	0.07452269777
412	0.07372632414
413	0.07356031608
414	0.07342010374
415	0.07328115449
416	0.07314335273
417	0.07300700244
418	0.07222803807
419	0.07209215277
420	0.0719324778
421	0.07179871363
422	0.07155556431
423	0.07142313987
424	0.07129152018
425	0.0711610413
426	0.07103137946
427	0.07090269208
428	0.07014443066
429	0.07001599299
430	0.06988881376
431	0.06976274258
432	0.06948923465
433	0.06936348873
434	0.06862865717
435	0.06850362995
436	0.06837974926
437	0.0682570412
438	0.06813515768
439	0.0680141966
440	0.06771095215
441	0.06759044637
442	0.06747074146
443	0.06731212504
444	0.06660063654
445	0.06648161403
446	0.0663638848
447	0.06624716255
448	0.06613125619
449	0.06543860996
450	0.06522311899
451	0.06510728986
452	0.06482558723
453	0.06471060889
454	0.06459665031
455	0.06448379893
456	0.06437185546
457	0.06426060792
458	0.06415015952
459	0.06404016956
460	0.06389924078
461	0.06379007506
462	0.0636512209
463	0.06354295896
464	0.06339538596
465	0.06328784541
466	0.06318097573
467	0.06307479017
468	0.06296913302
469	0.06286403266
470	0.06275926245
471	0.06265524001
472	0.06255139625
473	0.06240863706
474	0.06230553284
475	0.06220299187
476	0.0621010589
477	0.06199951613
478	0.06189833753
479	0.06160359375
480	0.06150236749
481	0.06140162999
482	0.06130148373
483	0.06120176459
484	0.06110257568
485	0.06100375429
486	0.06035700581
487	0.06025833355
488	0.0601608183
489	0.0595307701
490	0.05939660363
491	0.05929923853
492	0.05916763993
493	0.05907097664
494	0.05852734087
495	0.05843080298
496	0.05833539733
497	0.0579533522
498	0.05785727321
499	0.05763162749
500	0.05753587286
501	0.05744114226
502	0.05734736128
503	0.05725420986
504	0.05716189666
505	0.05707022499
506	0.05684729381
507	0.05675556822
508	0.05666456818
509	0.05657417283
510	0.05648421502
511	0.05639467848
512	0.05630569501
513	0.0560331881
514	0.05546142984
515	0.05490586626
516	0.05442689654
517	0.05433601783
518	0.05424596005
519	0.0540373888
520	0.05394761118
521	0.05385873992
522	0.05377071103
523	0.05368359533
524	0.0535973661
525	0.05351189072
526	0.0534272522
527	0.05334314228
528	0.05287463145
529	0.05278981473
530	0.05270592223
531	0.05262288169
532	0.05254103627
533	0.05208184662
534	0.0519988953
535	0.05191757215
536	0.05183623554
537	0.0517561046
538	0.0516765274
539	0.05159720069
540	0.0515175659
541	0.05106831892
542	0.05098794919
543	0.05090842236
544	0.05082969723
545	0.05075151134
546	0.05067384182
547	0.05023032511
548	0.05015197509
549	0.0500743854
550	0.0496737746
551	0.04959661144
552	0.04951943541
553	0.04944302947
554	0.04936770327
555	0.04929233294
556	0.04921746341
557	0.04879416606
558	0.04871865104
559	0.04864398003
560	0.04857005987
561	0.04849703679
562	0.04842367753
563	0.04804222624
564	0.04796840925
565	0.04789531075
566	0.04748718871
567	0.04741366189
568	0.04734096969
569	0.04726947602
570	0.04719845914
571	0.04712730054
572	0.04705660782
573	0.04698627072
574	0.0465896436
575	0.04651853584
576	0.04644819342
577	0.04608407103
578	0.04601307831
579	0.04594288144
580	0.04587341037
581	0.04580439395
582	0.04573592858
583	0.04566785707
584	0.04560025791
585	0.04553280464
586	0.04546575368
587	0.04539887466
588	0.04504794021
589	0.04498050339
590	0.04460617732
591	0.04453877721
592	0.04447162189
593	0.04440516043
594	0.04433937529
595	0.04427409697
596	0.04392855649
597	0.04386265004
598	0.04379750101
599	0.04373290144
600	0.04366877282
601	0.04360523541
602	0.04354185953
603	0.04347875509
604	0.04341588155
605	0.04335328801
606	0.04302299602
607	0.04296006486
608	0.04260980228
609	0.04254648332
610	0.04248389318
611	0.04242193898
612	0.04236063044
613	0.04229957497
614	0.04223756896
615	0.04189139297
616	0.04183024881
617	0.04176978147
618	0.04171004121
619	0.04164920708
620	0.04158873097
621	0.04152952075
622	0.04147061601
623	0.04141177775
624	0.04135202439
625	0.04129361163
626	0.04095945038
627	0.04090053203
628	0.04084221471
629	0.04078433205
630	0.04049673477
631	0.04043828711
632	0.04038089114
633	0.04032359447
634	0.04026555547
635	0.03995890354
636	0.03990110429
637	0.03984399541
638	0.0397874099
639	0.03973037075
640	0.03967447857
641	0.03961788872
642	0.03951016042
643	0.03945485505
644	0.03939969081
645	0.03934482435
646	0.0392892051
647	0.03899026728
648	0.03893500938
649	0.03888033407
650	0.03882612422
651	0.03877230875
652	0.03871754841
653	0.03842616203
654	0.03837181402
655	0.03831814835
656	0.03826493374
657	0.03821106763
658	0.0381587717
659	0.0381066685
660	0.03805427761
661	0.03800240974
662	0.03771793116
663	0.03766512604
664	0.0376128987
665	0.03756036756
666	0.0375086894
667	0.03745720652
668	0.03720179064
669	0.03714999168
670	0.037098732
671	0.03704787922
672	0.03688358275
673	0.0368329063
674	0.03678230269
675	0.03655985491
676	0.03650982343
677	0.03645956348
678	0.03640953216
679	0.0361447304
680	0.03609407363
681	0.03604397969
682	0.03595049577
683	0.035900853
684	0.03572388115
685	0.03567429588
686	0.03562440537
687	0.03557532644
688	0.03531891593
689	0.03526938511
690	0.03522038818
691	0.03517178035
692	0.03512349256
693	0.03507482655
694	0.03502678719
695	0.03497850914
696	0.03472856694
697	0.03468020736
698	0.03463231601
699	0.03458479051
700	0.03453754151
701	0.0344899705
702	0.03434166053
703	0.03429450682
704	0.03424768257
705	0.03420105046
706	0.03415475596
707	0.03410799752
708	0.03406191599
709	0.03401607312
710	0.03383933798
711	0.03379339324
712	0.03374719538
713	0.03370157185
714	0.03353963929
715	0.03349403544
716	0.03332190347
717	0.03327651672
718	0.03310867314
719	0.03306329336
720	0.03284656903
721	0.03280092644
722	0.03275577918
723	0.03271088159
724	0.03258126771
725	0.03253642962
726	0.0324918393
727	0.03228251708
728	0.03223745987
729	0.0321929312
730	0.03214874226
731	0.03210473864
732	0.03202733624
733	0.03198350402
734	0.03193998175
735	0.03173385891
736	0.03169003068
737	0.03164667799
738	0.03157536595
739	0.03153223823
740	0.03148937484
741	0.03144668714
742	0.03137301597
743	0.03133046668
744	0.03128824606
745	0.03124617814
746	0.03101776072
747	0.03097527446
748	0.03093319969
749	0.03089146652
750	0.03074083583
751	0.0305468049
752	0.03050467665
753	0.03046295209
754	0.03042151577
755	0.03038028344
756	0.03019046337
757	0.03014879645
758	0.03010757734
759	0.03006666542
760	0.03002597902
761	0.02998539674
762	0.02991664506
763	0.02987620006
764	0.02968711618
765	0.02964627936
766	0.02960594404
767	0.02956596391
768	0.02950276874
769	0.02946293151
770	0.0292663036
771	0.02922605464
772	0.02918624038
773	0.02900948723
774	0.02896931303
775	0.02892956851
776	0.02889017596
777	0.02885093549
778	0.02881191386
779	0.02877304612
780	0.02873430338
781	0.02869515665
782	0.02865664277
783	0.02861832966
784	0.02855836493
785	0.02852012081
786	0.02848210849
787	0.02844356865
788	0.02840574676
789	0.02836814886
790	0.02833066187
791	0.02829140864
792	0.02825413554
793	0.02821618738
794	0.02817913802
795	0.02799128837
796	0.02795376001
797	0.02791662569
798	0.0278797424
799	0.02772403285
800	0.02768708345
801	0.02765043876
802	0.02761398464
803	0.02757773957
804	0.02740951725
805	0.02737309075
806	0.02733696788
807	0.02730112762
808	0.02726480896
809	0.02722913226
810	0.0271890088
811	0.02715176348
812	0.02711478094
813	0.02707953571
814	0.02704007929
815	0.0270050123
816	0.02696594789
817	0.02690542483
818	0.0268704657
819	0.02683569887
820	0.02680029007
821	0.02676570422
822	0.0266179198
823	0.02658336062
824	0.02654421948
825	0.02650552253
826	0.02646963257
827	0.0264355348
828	0.02640164384
829	0.02636384605
830	0.02619258485
831	0.02615840141
832	0.02612459513
833	0.02609106447
834	0.0260568816
835	0.02602353753
836	0.02598964785
837	0.02595262263
838	0.02591796576
839	0.02588135305
840	0.02584519771
841	0.02581069121
842	0.02577773191
843	0.02574494715
844	0.0256511966
845	0.02561852161
846	0.02558274848
847	0.02546565537
848	0.02543298657
849	0.02539997291
850	0.0252631372
851	0.02523068941
852	0.02519847373
853	0.02514159283
854	0.02510956618
855	0.02507777801
856	0.02504312395
857	0.02501148569
858	0.02497925696
859	0.0249465489
860	0.02491520937
861	0.02488399908
862	0.02484990374
863	0.02481878319
864	0.02478634165
865	0.02464448393
866	0.02461336913
867	0.02458252573
868	0.0245510739
869	0.0245191382
870	0.02448556462
871	0.02445502265
872	0.02442461643
873	0.02439141405
874	0.02436115716
875	0.02420311716
876	0.0241725669
877	0.02414231609
878	0.02411144211
879	0.02408153895
880	0.02405099857
881	0.02402128158
882	0.02399162686
883	0.0238842622
884	0.02385461934
885	0.02382433403
886	0.023791537
887	0.02376090227
888	0.02373159593
889	0.02370241533
890	0.02367008732
891	0.02351769565
892	0.02348824871
893	0.02345912238
894	0.02342944327
895	0.02340069682
896	0.02337202045
897	0.02334346137
898	0.0233136992
899	0.02328526427
900	0.02324072029
901	0.02321239257
902	0.02318295669
903	0.0231522235
904	0.02312393161
905	0.02309583019
906	0.0230666296
907	0.02303751406
908	0.02300957144
909	0.02298174044
910	0.02295147687
911	0.02276471977
912	0.02273668586
913	0.02259295636
914	0.02256476806
915	0.02253679712
916	0.02241931337
917	0.02239124386
918	0.02236338412
919	0.02233577245
920	0.02230826452
921	0.02228002636
922	0.02210412426
923	0.02207664033
924	0.0219795052
925	0.02195208362
926	0.02192393524
927	0.02189599377
928	0.02186895785
929	0.02184203157
930	0.02181523912
931	0.02178766497
932	0.02176102907
933	0.02173368578
934	0.02170724381
935	0.02168089299
936	0.02164031046
937	0.02161408422
938	0.0215878989
939	0.02156186161
940	0.02153474679
941	0.02136658321
942	0.02134042793
943	0.02131446643
944	0.02123803689
945	0.02121208273
946	0.0211854456
947	0.02115970891
948	0.02113412984
949	0.02110861205
950	0.02104870527
951	0.02102331972
952	0.02099724326
953	0.02097200654
954	0.02080521421
955	0.02076604699
956	0.02074081054
957	0.02071564926
958	0.02069067078
959	0.02066502752
960	0.0206401659
961	0.02061545872
962	0.02058963494
963	0.0205649803
964	0.02054043001
965	0.02051598376
966	0.0204852757
967	0.0204601237
968	0.02030039352
969	0.02027587856
970	0.02017169425
971	0.02014713456
972	0.02012274792
973	0.02009767366
974	0.0200705691
975	0.02004649841
976	0.02002247396
977	0.01998428025
978	0.01996040708
979	0.01993658912
980	0.01990670911
981	0.01988299021
982	0.01985939694
983	0.01983585419
984	0.01981159396
985	0.01965532658
986	0.01963176004
987	0.01960750192
988	0.01958411149
989	0.01955804588
990	0.01953480079
991	0.01951121348
992	0.01948804882
993	0.01936846225
994	0.01934509534
995	0.01932193505
996	0.01928667579
997	0.01926368638
998	0.0192408217
999	0.0192180404
